,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,adc 12 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.242944099128,0.0,0.0
1,adi 3484 stf,0,2,0.0444444444444,0.0,0.0,2.36216823879e-10,0.0,0.0
2,adi 3614 stf,0,2,0.0444444444444,0.0,0.0,-8.7490445444e-11,0.0,0.0
3,adi 3660 stf,0,1,0.0222222222222,0.0,0.0,2.58700422195e-11,0.0,0.0
4,adi 3677 stf,0,1,0.0222222222222,0.0,0.0,1.67311615951e-11,0.0,0.0
5,adpf 33 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957132224,0.0,0.0
6,adpf 46 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957131962,0.0,0.0
7,adpf 54 stf,2,0,0.0444444444444,0.0,0.0444444444444,0.0762754963043,0.0,0.0
8,adpf 79 stf,0,9,0.2,0.0,0.0,-1.14690784647e-10,0.0,0.0
9,ai 542358 stf,0,1,0.0222222222222,0.0,0.0,-9.42641659174e-11,0.0,0.0
10,ao 144 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.0899821281261,0.0,0.0
11,ao 1894 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957131953,0.0,0.0
12,ao 70 stf,4,0,0.0888888888889,0.0,0.0888888888889,0.196776447967,0.0,0.0
13,hc 1 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331681,0.0,0.0833333333333
14,hc 2 stj,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331786,0.0,0.0833333333333
15,hc 43862 stj,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331811,0.0,0.0833333333333
16,hc 51982 stj,1,0,0.0222222222222,0.0,0.0222222222222,0.194232628663,0.0,0.0
17,hc 69377 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134332074,0.0,0.0833333333333
18,hc 69603 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331747,0.0,0.0833333333333
19,hc 69657 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331697,0.0,0.0833333333333
20,hc 76991 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331772,0.0,0.0833333333333
21,hc 80179 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671626,0.0,0.0
22,hc 81421 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331865,0.0,0.0833333333333
23,hc 82 stj,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671446,0.0,0.0
24,hc 82199 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671552,0.0,0.0
25,hc 82684 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671589,0.0,0.0
26,hc 82959 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.16513433175,0.0,0.0833333333333
27,hc 83157 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671744,0.0,0.0
28,hc 83704 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671721,0.0,0.0
29,hc 83856 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671806,0.0,0.0
30,hc 84422 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.1651343317,0.0,0.0833333333333
31,hc 84768 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.132451876673,0.0,0.0
32,hc 86000 stf,0,2,0.0444444444444,0.0,0.0,-1.28784150011e-10,0.0,0.0
33,hc 86109 stf,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331944,0.0,0.0833333333333
34,hc 87243 stj,1,0,0.0222222222222,0.0,0.0222222222222,0.165134331625,0.0,0.0833333333333
35,hc 87719 stf,0,2,0.0444444444444,0.0,0.0,1.88854099026e-10,0.0,0.0
36,hc 88330 stj,1,0,0.0222222222222,0.0,0.0222222222222,0.214355671518,0.0,0.0
37,inq 2 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.132451876265,0.0,0.0
38,pet 2875 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957131983,0.0,0.0
39,re 402517 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957132371,0.0,0.0
40,rhc 87243 stf,0,12,0.266666666667,0.0,0.0,1.60561564044e-10,1.0,0.0
41,rhc 88330 stf,0,8,0.177777777778,0.0,0.0,2.08419920211e-10,0.0,0.0
42,ro 161 stj,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957132287,0.0,0.0
43,sum. 280 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957131977,0.0,0.0
44,sum. 339 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.117957132175,0.0,0.0
45,sum. 454 stf,1,0,0.0222222222222,0.0,0.0222222222222,-0.0969487704312,0.0,0.0
